Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),longitude,latitude
Andhra Pradesh,2020-01-31, M,5.48,16635535,41.02,15.9129,79.74
Andhra Pradesh,2020-02-29, M,5.83,16545652,40.9,15.9129,79.74
Andhra Pradesh,2020-03-31, M,5.79,15881197,39.18,15.9129,79.74
Andhra Pradesh,2020-04-30, M,20.51,11336911,33.1,15.9129,79.74
Andhra Pradesh,2020-05-31, M,17.43,12988845,36.46,15.9129,79.74
Andhra Pradesh,2020-06-30, M,3.31,19805400,47.41,15.9129,79.74
Andhra Pradesh,2020-07-31, M,8.34,15431615,38.91,15.9129,79.74
Andhra Pradesh,2020-08-31, M,6.96,15251776,37.83,15.9129,79.74
Andhra Pradesh,2020-09-30, M,6.4,15220312,37.47,15.9129,79.74
Andhra Pradesh,2020-10-31, M,6.59,15157557,37.34,15.9129,79.74
Assam,2020-01-31, M,4.66,13051904,52.98,26.2006,92.9376
Assam,2020-02-29, M,4.41,10088268,40.77,26.2006,92.9376
Assam,2020-03-31, M,4.77,11542888,46.73,26.2006,92.9376
Assam,2020-04-30, M,11.06,6830817,29.55,26.2006,92.9376
Assam,2020-05-31, M,9.55,11367897,48.26,26.2006,92.9376
Assam,2020-06-30, M,0.6,9095944,35.07,26.2006,92.9376
Assam,2020-07-31, M,3.77,10286757,40.88,26.2006,92.9376
Assam,2020-08-31, M,5.53,9781310,39.52,26.2006,92.9376
Assam,2020-09-30, M,1.19,14107641,54.38,26.2006,92.9376
Assam,2020-10-31, M,3.02,11949329,46.84,26.2006,92.9376
Bihar,2020-01-31, M,10.61,26397671,37.72,25.0961,85.3131
Bihar,2020-02-29, M,10.29,26281655,37.35,25.0961,85.3131
Bihar,2020-03-31, M,15.43,25717519,38.69,25.0961,85.3131
Bihar,2020-04-30, M,46.64,16046236,38.17,25.0961,85.3131
Bihar,2020-05-31, M,45.96,16280203,38.16,25.0961,85.3131
Bihar,2020-06-30, M,17.82,23963933,36.86,25.0961,85.3131
Bihar,2020-07-31, M,12.79,24989370,36.14,25.0961,85.3131
Bihar,2020-08-31, M,13.44,23795534,34.59,25.0961,85.3131
Bihar,2020-09-30, M,11.91,26902907,38.35,25.0961,85.3131
Bihar,2020-10-31, M,9.82,25693252,35.7,25.0961,85.3131
Chhattisgarh,2020-01-31, M,9.65,8552172,43.08,21.2787,81.8661
